accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,timestamp_s,label
-4.0607,-5.8396,-6.9817,-5.4933,0.1221,-0.4273,225.96853125,NO MOTION
-4.0655,-5.7654,-6.6274,3.1739,0.1221,0.1831,225.988921875,NO MOTION
-4.0248,-5.8348,-6.9218,0.2441,-0.1831,0.0,226.0093125,NO MOTION
-4.0679,-5.787,-6.8931,-1.7701,0.0,-0.3052,226.029703125,NO MOTION
-4.087,-5.7439,-6.7662,3.6622,0.061,0.1221,226.050109375,NO MOTION
-4.0391,-5.8348,-6.8476,1.648,0.0,0.0,226.0705,NO MOTION
-4.0344,-5.8253,-6.7902,1.2818,0.061,-0.1221,226.090890625,NO MOTION
-4.032,-5.7941,-6.7758,1.7701,0.0,-0.1221,226.11128125,NO MOTION
-4.0367,-5.8013,-6.8285,-0.7324,-0.061,-0.2441,226.131671875,NO MOTION
-4.0367,-5.8109,-6.8093,-1.1597,0.0,0.0,226.152078125,NO MOTION
-4.0607,-5.8037,-6.7902,-0.3662,0.0,0.2441,226.17246875,NO MOTION
-4.087,-5.8325,-6.8428,-0.9766,-0.1221,0.0,226.192859375,NO MOTION
-4.0535,-5.842,-6.8237,0.1221,0.0,-0.1831,226.21325,NO MOTION
-4.087,-5.8492,-6.7447,2.5636,0.1831,0.2441,226.233640625,NO MOTION
-4.0344,-5.8205,-6.7997,1.4649,0.1221,0.1221,226.25403125,NO MOTION
,,,,,,226.264234375,NO MOTION
-4.0367,-5.8181,-6.7782,0.8545,0.3052,-0.1221,226.274421875,NO MOTION
-4.0703,-5.8779,-6.838,0.8545,0.3662,-0.1831,226.2948125,NO MOTION
-4.0751,-5.8133,-6.7926,1.1597,0.4273,-0.3052,226.315203125,NO MOTION
-4.0176,-5.8468,-6.8524,2.0753,0.3662,-0.5493,226.33559375,NO MOTION
-3.8644,-5.9474,-6.8045,4.5778,0.7935,-0.8545,226.355984375,NO MOTION
-4.0487,-5.8372,-6.6633,6.8361,0.9156,-0.2441,226.376375,NO MOTION
-4.0774,-5.8564,-6.6441,4.3947,0.5493,0.5493,226.39678125,NO MOTION
-4.02,-5.854,-6.8069,-3.0519,0.0,0.4273,226.417171875,NO MOTION
-4.1086,-5.7487,-6.7495,-5.6154,-0.3052,0.6714,226.4375625,NO MOTION
-4.0511,-5.9282,-6.9123,-6.4699,-0.8545,0.9156,226.457953125,NO MOTION
-4.1301,-5.6816,-6.7447,-3.4791,-0.1221,-0.1221,226.47834375,NO MOTION
-3.941,-5.8013,-6.7542,-0.3052,-0.2441,-0.1831,226.498734375,NO MOTION
-4.0272,-5.9306,-7.0033,-5.7985,-0.1831,-0.6104,226.519125,NO MOTION
-3.9793,-5.8205,-6.7614,-0.8545,0.0,0.0,226.53953125,NO MOTION
-4.0607,-5.8277,-6.7495,,,,226.559921875,NO MOTION
,,,2.4415,0.0,0.5493,226.559921875,NO MOTION
-4.087,-5.7989,-6.862,-0.4273,0.0,0.061,226.5803125,NO MOTION
-4.0631,-5.7846,-6.7973,0.7324,0.1221,-0.061,226.600703125,NO MOTION
-3.9889,-5.8708,-6.8716,1.648,0.1831,-0.2441,226.62109375,NO MOTION
-4.0439,-5.8157,-6.6106,3.235,0.1831,0.061,226.641484375,NO MOTION
-4.0439,-5.8133,-6.795,-1.0376,0.061,0.3052,226.661875,NO MOTION
-4.0152,-5.8444,-6.8788,-6.2868,-0.061,-0.4273,226.68228125,NO MOTION
-4.032,-5.7965,-6.7495,-3.235,-0.3662,-0.3662,226.702671875,NO MOTION
-4.0751,-5.8109,-6.8452,-4.2726,-0.8545,-0.061,226.7230625,NO MOTION
-4.0535,-5.7726,-6.8979,-6.2868,-0.7324,-0.1221,226.743453125,NO MOTION
-4.0511,-5.787,-6.8931,-3.8453,-0.4273,0.061,226.76384375,NO MOTION
-4.0774,-5.8061,-6.8955,-0.3662,-0.1831,0.1221,226.784234375,NO MOTION
-4.0607,-5.7702,-6.7614,2.0753,0.0,0.1221,226.804625,NO MOTION
-4.0535,-5.751,-6.8237,1.2207,0.1221,-0.061,226.825015625,NO MOTION
-4.0511,-5.7774,-6.8572,-0.1831,0.0,-0.1221,226.84540625,NO MOTION
,,,,,,226.865796875,NO MOTION
-4.0631,-5.7391,-6.8117,0.061,0.061,-0.061,226.865796875,NO MOTION
-4.0511,-5.763,-6.8572,-0.6714,0.061,-0.1831,226.8861875,NO MOTION
-4.0224,-5.7846,-6.8716,-1.1597,0.0,0.061,226.906578125,NO MOTION
-4.0391,-5.8013,-6.8811,0.0,-0.2441,0.4273,226.92696875,NO MOTION
-4.0391,-5.775,-6.8285,0.6104,-0.2441,0.2441,226.947359375,NO MOTION
-4.0559,-5.763,-6.8285,0.0,0.0,0.0,226.96775,NO MOTION
-4.0559,-5.775,-6.8117,0.0,-0.061,0.1831,226.988140625,NO MOTION
-4.032,-5.8013,-6.8692,-0.4273,-0.1831,0.061,227.008546875,NO MOTION
-4.0583,-5.7654,-6.8285,0.0,0.0,0.0,227.0289375,NO MOTION
-4.0535,-5.775,-6.8476,0.061,0.061,-0.061,227.049328125,NO MOTION
-4.0607,-5.7894,-6.8548,-0.4883,0.1221,-0.1831,227.06971875,NO MOTION
-4.0367,-5.7606,-6.8404,0.0,0.0,0.0,227.090109375,NO MOTION
-4.0679,-5.7846,-6.8788,-0.3662,0.0,0.0,227.1105,NO MOTION
-4.0727,-5.7582,-6.8572,-0.4273,0.061,-0.1221,227.130890625,NO MOTION
-4.0344,-5.7534,-6.8357,0.2441,0.0,-0.061,227.15128125,NO MOTION
,,,,,,227.161484375,NO MOTION
-4.0439,-5.7822,-6.8811,0.4273,0.061,-0.1221,227.171671875,NO MOTION
-4.0296,-5.7798,-6.8285,0.9156,0.0,-0.061,227.1920625,NO MOTION
-4.0439,-5.7439,-6.8213,0.6104,0.1221,0.0,227.21246875,NO MOTION
-4.0439,-5.8013,-6.8476,-0.3052,0.061,-0.061,227.232859375,NO MOTION
-4.0607,-5.7989,-6.8572,-0.061,0.061,0.0,227.25325,NO MOTION
-4.0367,-5.7726,-6.8333,1.1597,0.0,-0.1221,227.273640625,NO MOTION
-4.0272,-5.7774,-6.8141,1.5259,0.1221,-0.1221,227.29403125,NO MOTION
-4.0439,-5.7965,-6.8452,0.3662,0.0,-0.061,227.314421875,NO MOTION
-4.0415,-5.8109,-6.8093,0.6104,0.0,0.061,227.334828125,NO MOTION
-4.0511,-5.7941,-6.8189,0.7324,0.0,0.0,227.35521875,NO MOTION
-4.0583,-5.8157,-6.8357,-0.4883,0.0,0.0,227.375609375,NO MOTION
-4.0296,-5.7846,-6.8357,-0.7324,0.061,-0.1221,227.396,NO MOTION
-4.0511,-5.7846,-6.8333,0.1831,0.0,0.0,227.416390625,NO MOTION
-4.0559,-5.8013,-6.838,0.3662,0.0,-0.061,227.436796875,NO MOTION
-4.0176,-5.8301,-6.8404,,,,227.4571875,NO MOTION
,,,0.1831,0.061,0.0,227.4571875,NO MOTION
-4.0727,-5.7965,-6.795,0.7324,0.0,0.1221,227.477578125,NO MOTION
-4.0607,-5.7798,-6.8428,0.0,0.0,0.1831,227.49796875,NO MOTION
-4.032,-5.7941,-6.8476,-0.4883,0.0,0.0,227.518359375,NO MOTION
-4.0344,-5.8085,-6.8668,0.0,0.0,-0.061,227.53875,NO MOTION
-4.02,-5.7918,-6.8285,1.0987,0.1221,0.061,227.55915625,NO MOTION
-4.1158,-5.7415,-6.7566,1.0376,0.1221,0.3662,227.579546875,NO MOTION
-4.0679,-5.8157,-6.8931,-2.0142,0.061,0.0,227.5999375,NO MOTION
-4.0583,-5.8516,-6.9578,-1.7701,0.0,-0.1831,227.620328125,NO MOTION
-4.0559,-5.8013,-6.8285,4.7609,0.3052,-0.1221,227.64071875,NO MOTION
-4.0631,-5.7487,-6.771,7.5686,0.6714,-0.3662,227.661109375,NO MOTION
-3.8883,-5.9522,-6.8404,6.1037,0.7935,-0.7324,227.6815,NO MOTION
-4.1158,-5.8468,-6.6992,7.6296,0.9156,-0.2441,227.70190625,NO MOTION
-4.0655,-5.7678,-6.5795,6.0427,0.2441,0.6104,227.722296875,NO MOTION
-4.087,-5.8684,-6.8764,-3.9064,-0.6104,0.6714,227.7426875,NO MOTION
,,,,,,227.763078125,NO MOTION
-4.0248,-5.8348,-6.7662,-6.7141,-0.7935,0.6714,227.763078125,NO MOTION
-4.0966,-5.8301,-6.862,-5.6764,-0.7324,0.7935,227.78346875,NO MOTION
-4.1828,-5.8325,-6.7566,-4.2726,-0.3052,0.3662,227.803875,NO MOTION
-3.9099,-5.866,-6.929,-2.3804,-0.1831,-0.5493,227.824265625,NO MOTION
-4.1158,-5.7702,-6.7016,0.9156,0.0,-0.1831,227.84465625,NO MOTION
-4.0774,-5.7894,-6.7734,0.0,0.0,0.1831,227.865046875,NO MOTION
-4.0703,-5.8732,-6.9554,-4.883,-0.1221,-0.1831,227.885453125,NO MOTION
-4.0487,-5.787,-6.8165,-1.709,-0.1221,0.0,227.90584375,NO MOTION
-4.0463,-5.7822,-6.8021,0.6714,-0.1831,0.0,227.926234375,NO MOTION
-4.0487,-5.8133,-6.8428,-0.1221,-0.061,-0.1831,227.946625,NO MOTION
-4.0463,-5.787,-6.7519,1.0987,0.1221,-0.061,227.96703125,NO MOTION
-4.02,-5.8372,-6.8093,0.2441,0.061,0.0,227.987421875,NO MOTION
-4.0367,-5.8037,-6.8428,-0.8545,0.0,-0.1831,228.007828125,NO MOTION
-4.0367,-5.7702,-6.7926,-0.4273,0.0,-0.2441,228.02821875,NO MOTION
-4.0439,-5.7846,-6.8548,-2.2584,-0.061,-0.1831,228.048625,NO MOTION
,,,,,,228.0588125,NO MOTION
-4.0296,-5.787,-6.8189,-2.7467,-0.3052,0.0,228.069015625,NO MOTION
-4.0439,-5.7846,-6.8213,-1.648,-0.3662,0.1831,228.089421875,NO MOTION
-4.032,-5.8061,-6.8021,-1.587,-0.4273,0.1221,228.1098125,NO MOTION
-4.0535,-5.7726,-6.8141,-1.709,-0.3662,0.061,228.130203125,NO MOTION
-4.0846,-5.763,-6.862,-1.9532,-0.4273,0.0,228.150609375,NO MOTION
-4.0367,-5.7798,-6.862,-1.5259,-0.3052,-0.1221,228.171,NO MOTION
-4.0703,-5.7582,-6.8452,-0.8545,-0.3052,-0.1221,228.191390625,NO MOTION
-4.0583,-5.7774,-6.8644,-0.4273,-0.1831,0.061,228.211796875,NO MOTION
-4.02,-5.7798,-6.8907,0.6104,0.0,0.061,228.2321875,NO MOTION
-4.0798,-5.7439,-6.7064,3.235,0.1221,0.1831,228.252578125,NO MOTION
-4.0607,-5.7798,-6.8596,-0.3662,0.1221,0.0,228.272984375,NO MOTION
-4.0272,-5.8037,-6.9362,-3.4791,0.1221,-0.2441,228.293375,NO MOTION
-4.0176,-5.8181,-6.8524,1.2207,0.1221,0.1831,228.313765625,NO MOTION
-4.0487,-5.7989,-6.9003,4.1505,0.2441,0.3052,228.33415625,NO MOTION
-4.0798,-5.763,-6.704,,,,228.354546875,NO MOTION
,,,6.592,0.4883,0.1831,228.354546875,NO MOTION
-4.0391,-5.8372,-6.8189,4.6999,0.2441,0.3052,228.374953125,NO MOTION
-4.0391,-5.9186,-6.9817,2.5636,0.6104,0.2441,228.39534375,NO MOTION
-4.1301,-5.7606,-6.6417,10.2542,0.8545,0.5493,228.415734375,NO MOTION
-4.1565,-5.6265,-6.5172,9.3387,0.4883,0.3052,228.436125,NO MOTION
-4.0655,-5.8085,-6.9338,-6.3478,-0.061,-1.0376,228.456515625,NO MOTION
-4.0104,-5.866,-6.9554,-10.0101,-0.2441,-0.7935,228.47690625,NO MOTION
-4.0679,-5.7894,-6.7231,-1.1597,-0.3662,0.3662,228.497296875,NO MOTION
-4.0774,-5.8253,-6.7495,-2.1363,-0.7935,0.2441,228.517703125,NO MOTION
-4.0463,-5.7989,-6.9171,-7.2024,-0.4273,-0.4273,228.53809375,NO MOTION
-4.0846,-5.7822,-6.8811,-4.6999,-0.1831,-0.1831,228.558484375,NO MOTION
-4.0822,-5.8037,-6.8189,0.0,-0.061,0.061,228.578890625,NO MOTION
-4.0487,-5.7846,-6.8404,0.7935,0.061,-0.3052,228.59928125,NO MOTION
-3.9577,-5.8971,-6.8261,0.8545,0.1831,-0.5493,228.619671875,NO MOTION
-3.9721,-5.8133,-6.783,2.6856,0.3052,-0.3052,228.6400625,NO MOTION
,,,,,,228.660453125,NO MOTION
-4.0727,-5.7463,-6.6417,3.6622,0.3662,0.3662,228.660453125,NO MOTION
-4.008,-5.8277,-6.874,-2.1973,0.2441,-0.1221,228.68084375,NO MOTION
-4.032,-5.8875,-6.941,-3.9674,0.061,-0.3052,228.70125,NO MOTION
-4.0415,-5.7989,-6.7471,2.2584,0.1221,-0.1221,228.721640625,NO MOTION
-4.0056,-5.8085,-6.7878,2.9298,0.0,0.0,228.74203125,NO MOTION
-4.0751,-5.775,-6.8285,-0.1221,0.061,-0.061,228.762421875,NO MOTION
-4.0248,-5.8444,-6.8764,0.0,0.0,-0.1221,228.782828125,NO MOTION
-4.008,-5.842,-6.8835,1.4649,0.3052,-0.4273,228.80321875,NO MOTION
-4.1636,-5.6864,-6.6609,6.0427,0.6104,0.0,228.823609375,NO MOTION
-3.9266,-5.9186,-6.9434,1.7701,0.4883,-0.3052,228.844,NO MOTION
-4.1397,-5.8468,-6.8644,0.5493,0.4883,-0.1221,228.864390625,NO MOTION
-4.0607,-5.7271,-6.5388,5.4933,0.1221,0.4273,228.88478125,NO MOTION
-4.0176,-5.8564,-6.8716,-2.9298,-0.3052,0.1221,228.9051875,NO MOTION
-4.0798,-5.8037,-6.8979,-7.6907,-0.3052,0.3052,228.925578125,NO MOTION
-4.1253,-5.8516,-6.8548,-3.1739,-0.3662,0.8545,228.94596875,NO MOTION
,,,,,,228.95615625,NO MOTION
-4.0679,-5.763,-6.7423,-1.0987,-0.1221,0.0,228.966359375,NO MOTION
-3.9458,-5.8468,-7.008,-2.2584,0.061,-0.3052,228.98675,NO MOTION
-4.111,-5.7343,-6.7495,1.0376,0.4273,0.0,229.007140625,NO MOTION
-4.0391,-5.775,-6.7231,2.1973,0.3052,0.1831,229.02753125,NO MOTION
-4.0248,-5.8803,-7.0392,-5.1271,0.0,-0.3052,229.047921875,NO MOTION
-4.0798,-5.7582,-6.7255,0.3662,0.1221,0.061,229.0683125,NO MOTION
-4.0822,-5.7678,-6.7686,2.9298,0.0,0.061,229.088703125,NO MOTION
-3.9553,-5.9498,-6.953,-1.648,0.0,-0.3662,229.10909375,NO MOTION
-4.1253,-5.7558,-6.6297,2.9298,0.2441,-0.1221,229.1295,NO MOTION
-3.9913,-5.8325,-6.771,1.8311,0.061,0.061,229.149890625,NO MOTION
-4.0296,-5.8827,-6.941,-4.944,-0.061,-0.4883,229.17028125,NO MOTION
-4.032,-5.7774,-6.7399,-0.2441,0.0,-0.1221,229.190671875,NO MOTION
-4.02,-5.8325,-6.8644,0.3662,-0.1221,-0.061,229.2110625,NO MOTION
-3.9889,-5.8253,-6.8835,-0.9156,-0.2441,-0.061,229.231453125,NO MOTION
-4.0391,-5.8181,-6.7686,,,,229.25184375,NO MOTION
,,,1.8311,-0.3052,0.4273,229.25184375,NO MOTION
-4.0894,-5.7965,-6.8117,1.2818,-0.2441,0.4883,229.27225,NO MOTION
-4.0727,-5.7894,-6.838,-0.5493,0.0,0.0,229.292640625,NO MOTION
-4.0655,-5.7726,-6.7878,-0.3052,0.061,-0.061,229.31303125,NO MOTION
-4.0391,-5.8037,-6.8692,-1.3428,-0.061,0.0,229.333421875,NO MOTION
-4.0559,-5.8061,-6.8357,-1.5259,0.0,0.1221,229.3538125,NO MOTION
-4.0679,-5.787,-6.7638,0.0,0.1221,0.061,229.374203125,NO MOTION
-4.0583,-5.8205,-6.8716,-0.7324,0.061,0.061,229.394609375,NO MOTION
-4.0415,-5.787,-6.8285,0.061,0.1221,0.0,229.415,NO MOTION
-4.0631,-5.7941,-6.783,1.2207,0.2441,-0.1831,229.435390625,NO MOTION
-3.9984,-5.8348,-6.9027,-0.4273,0.2441,-0.3052,229.45578125,NO MOTION
-4.0367,-5.8133,-6.7542,0.0,0.1831,0.0,229.4761875,NO MOTION
-4.0272,-5.8109,-6.8213,0.0,0.1221,0.3052,229.496578125,NO MOTION
-4.02,-5.8157,-6.8452,-0.3662,0.0,0.061,229.516984375,NO MOTION
-4.0391,-5.787,-6.771,1.587,0.061,0.0,229.537375,NO MOTION
,,,,,,229.557765625,NO MOTION
-4.0439,-5.8085,-6.8045,0.3052,0.0,-0.061,229.557765625,NO MOTION
-4.0296,-5.8253,-6.8596,-0.9766,-0.1221,-0.1221,229.578171875,NO MOTION
-4.0296,-5.7798,-6.7997,0.9766,-0.1221,0.061,229.5985625,NO MOTION
-4.032,-5.7894,-6.8093,0.9156,-0.2441,0.2441,229.618953125,NO MOTION
-4.0535,-5.8085,-6.8141,-0.2441,-0.2441,0.1221,229.639359375,NO MOTION
-4.0176,-5.8109,-6.7997,-0.2441,-0.3052,0.061,229.65975,NO MOTION
-4.0607,-5.8181,-6.7973,-0.3052,-0.1221,0.061,229.680140625,NO MOTION
-4.0703,-5.8205,-6.8213,-0.6714,0.061,0.0,229.700546875,NO MOTION
-4.0727,-5.8037,-6.8428,-0.9156,0.1221,0.061,229.7209375,NO MOTION
-4.0918,-5.7726,-6.8021,0.061,0.1831,0.1221,229.741328125,NO MOTION
-4.0703,-5.7822,-6.8428,0.3052,0.1221,-0.061,229.761734375,NO MOTION
-4.0463,-5.7918,-6.838,-0.1221,0.2441,-0.1221,229.782125,NO MOTION
-4.0559,-5.7941,-6.7997,0.1831,0.2441,0.0,229.802515625,NO MOTION
-4.0511,-5.8085,-6.8404,-0.4273,0.2441,0.061,229.822921875,NO MOTION
-4.0535,-5.8181,-6.8524,-0.6714,0.1831,0.0,229.8433125,NO MOTION
,,,,,,229.853515625,NO MOTION
-4.0511,-5.8013,-6.8285,0.1831,0.0,0.0,229.863703125,NO MOTION
-4.0367,-5.7774,-6.8261,0.4883,0.061,-0.1221,229.88409375,NO MOTION
-4.0367,-5.8013,-6.795,0.3662,0.0,0.0,229.9045,NO MOTION
-4.0535,-5.8253,-6.8237,-0.1221,0.0,-0.061,229.924890625,NO MOTION
-4.0463,-5.8037,-6.7902,0.3052,-0.061,-0.061,229.94528125,NO MOTION
-4.0463,-5.8061,-6.838,0.061,-0.061,-0.061,229.9656875,NO MOTION
-4.0224,-5.8013,-6.8285,-0.1221,0.0,-0.1831,229.986078125,NO MOTION
-4.0008,-5.8301,-6.8404,0.6104,-0.1831,-0.061,230.00646875,NO MOTION
-4.0631,-5.8157,-6.8572,0.9766,-0.3662,0.061,230.026875,NO MOTION
-4.0631,-5.7846,-6.7519,1.4649,-0.1831,0.1221,230.047265625,NO MOTION
-4.0463,-5.8181,-6.8452,-0.8545,-0.061,-0.1221,230.06765625,NO MOTION
-4.0463,-5.8205,-6.7782,-0.7935,0.0,0.061,230.0880625,NO MOTION
-4.0655,-5.8085,-6.7902,0.061,-0.061,0.1831,230.108453125,NO MOTION
-4.0344,-5.8181,-6.85,-1.1597,-0.1221,0.0,230.12884375,NO MOTION
-4.0798,-5.7918,-6.783,,,,230.149234375,NO MOTION
,,,-0.1221,0.061,-0.061,230.149234375,NO MOTION
-4.0894,-5.8061,-6.7973,0.6104,0.061,0.061,230.169640625,NO MOTION
-4.0344,-5.787,-6.8093,0.0,0.1221,0.0,230.19003125,NO MOTION
-3.9984,-5.787,-6.7471,0.2441,0.3052,0.0,230.210421875,NO MOTION
-3.9841,-5.8492,-6.7399,-0.6104,0.4273,0.1831,230.230828125,NO MOTION
-3.9242,-5.8803,-6.7447,-1.4039,0.4883,0.3662,230.25121875,NO MOTION
-3.9338,-5.8277,-6.7159,-0.9156,0.7324,0.3052,230.271609375,NO MOTION
-3.8979,-5.8013,-6.7614,-2.6246,0.9766,0.3052,230.292015625,NO MOTION
-4.0152,-5.8277,-6.9147,-4.6999,1.4039,0.7324,230.31240625,NO MOTION
-4.0703,-5.6505,-6.7542,-1.709,1.8921,1.1597,230.332796875,NO MOTION
-4.0631,-5.5858,-6.6896,-0.6714,2.3804,1.4649,230.353203125,NO MOTION
-4.0918,-5.8803,-7.1421,-9.1556,2.5025,0.6104,230.37359375,MOTION
-4.0583,-5.9043,-7.3432,-9.2166,2.2584,-0.7935,230.393984375,MOTION
-4.0942,-5.5834,-6.7806,2.9298,1.1597,0.1221,230.414390625,MOTION
-4.0918,-5.5739,-6.8357,0.1221,-0.061,1.4039,230.43478125,MOTION
,,,,,,230.455171875,MOTION
-4.111,-5.6936,-6.9147,-8.3621,-0.1831,1.587,230.455171875,MOTION
-4.1852,-5.7008,-6.6537,-2.4415,0.061,1.7701,230.475578125,MOTION
-4.1684,-5.763,-6.7542,-2.4415,0.4883,0.0,230.49596875,MOTION
-4.1134,-5.7295,-6.929,-9.5828,1.4039,-2.1363,230.516375,MOTION
-4.111,-5.7127,-6.9218,-7.2024,1.5259,-1.0987,230.536765625,MOTION
-3.7758,-5.8923,-7.0176,-3.4181,0.9156,-1.648,230.55715625,MOTION
-4.0703,-5.6242,-7.1469,-4.4557,1.3428,-3.6622,230.577546875,MOTION
-3.9338,-5.6002,-6.9793,-2.8687,0.8545,-2.0753,230.597953125,MOTION
-3.8787,-5.6289,-6.9506,-2.7467,-0.4883,-1.3428,230.61834375,MOTION
-3.8548,-5.6313,-7.0152,-7.1413,-1.2818,-1.3428,230.638734375,MOTION
-3.8452,-5.6481,-7.0559,-6.4089,-0.9766,-1.648,230.659140625,MOTION
-3.85,-5.6122,-7.0559,-4.2116,-0.7324,-1.587,230.67953125,MOTION
-3.8428,-5.6481,-7.0775,-4.0284,-0.9156,-0.8545,230.699921875,MOTION
-3.9793,-5.7151,-7.0703,-2.8687,-2.1973,1.0987,230.720328125,MOTION
-4.0559,-5.6625,-6.8476,2.1973,-2.6856,3.4181,230.74071875,MOTION
,,,,,,230.750921875,MOTION
-4.336,-5.5811,-6.8141,2.5025,-2.6246,4.883,230.761109375,MOTION
-4.2163,-5.6337,-6.9697,-2.4415,-2.8077,2.9298,230.781515625,MOTION
-4.336,-5.6122,-7.1469,-3.7233,-3.8453,2.1973,230.80190625,MOTION
-4.4126,-5.5667,-7.1685,1.648,-6.1647,2.1973,230.822296875,MOTION
-4.5012,-5.4542,-7.0559,7.6296,-7.9958,1.8311,230.8426875,MOTION
-4.451,-5.4446,-6.9218,9.7659,-8.4841,0.7324,230.863078125,MOTION
-4.4055,-5.4805,-6.8141,8.0569,-7.8738,-0.7324,230.883484375,MOTION
-4.0655,-5.6122,-6.6202,2.9908,-5.3102,-6.7141,230.903875,MOTION
-3.9793,-5.6289,-6.9362,-7.7517,-1.0376,-10.6815,230.924265625,MOTION
-3.9721,-5.5906,-7.0272,-12.2684,3.357,-11.2308,230.94465625,MOTION
-3.8045,-5.5882,-7.0679,-13.7333,4.2116,-12.2074,230.965046875,MOTION
-3.747,-5.6529,-7.1613,-13.6113,2.8687,-9.5218,230.9854375,MOTION
-3.7542,-5.8205,-7.2666,-9.6438,-2.3804,-5.005,231.005828125,MOTION
-3.7662,-5.8732,-7.1038,2.5636,-9.5218,0.1221,231.02621875,MOTION
-4.032,-5.672,-6.9721,,,,231.046609375,MOTION
,,,15.3813,-16.3579,1.5259,231.046609375,MOTION
-3.8404,-5.787,-6.5579,22.2785,-21.1188,-7.0193,231.067,MOTION
-4.0104,-5.684,-6.5364,14.5268,-19.5929,-7.2024,231.087390625,MOTION
-4.1708,-5.6505,-6.7854,0.8545,-14.0996,-4.944,231.10778125,MOTION
-4.2115,-5.6026,-6.8692,-5.3713,-9.1556,-7.6907,231.1281875,MOTION
-4.3025,-5.5451,-7.0272,-7.3855,-6.592,-8.6673,231.148578125,MOTION
-4.2043,-5.7894,-6.9769,-5.2492,-6.8972,-6.653,231.16896875,MOTION
-4.9681,-5.3728,-6.6537,4.944,-0.5493,-2.7467,231.189359375,MOTION
-4.0535,-5.4901,-6.7638,-1.8921,3.4181,-7.6296,231.20975,MOTION
-3.838,-5.1908,-7.0368,-12.6347,5.3713,-8.9724,231.230140625,MOTION
-3.9458,-5.6744,-7.0033,-13.8554,8.8504,-3.8453,231.25053125,MOTION
-4.0248,-5.447,-7.2427,-16.6631,9.5828,-2.8077,231.270921875,MOTION
-3.9889,-5.7223,-7.3672,-11.1087,5.1271,-1.0376,231.2913125,MOTION
-3.9865,-5.7127,-7.372,1.0376,0.8545,1.587,231.311703125,MOTION
-3.9434,-5.672,-6.9195,15.3203,-2.1363,4.6388,231.33209375,MOTION
,,,,,,231.352484375,FALL
-4.0487,-5.7846,-6.5292,24.1096,-5.1271,8.7893,231.352484375,FALL
-4.0248,-5.7439,-6.352,18.4332,-3.1129,7.0193,231.372875,FALL
-4.0344,-5.8564,-6.4406,2.0753,3.235,2.6246,231.393265625,FALL
-4.0439,-5.8301,-6.7734,-9.888,6.3478,-0.4273,231.41365625,FALL
-3.9697,-6.0312,-6.9937,-9.3997,4.3336,-1.4039,231.4340625,FALL
-4.0631,-5.9953,-6.8237,3.1739,0.9766,1.1597,231.454453125,FALL
-4.1589,-5.8253,-6.5005,11.475,-0.1221,3.1739,231.47484375,FALL
-4.2163,-5.8013,-6.5914,4.3947,0.1221,2.5025,231.495234375,FALL
-4.1612,-5.8612,-6.8596,-5.1881,-0.4883,1.5259,231.515625,FALL
-4.2379,-5.7798,-6.6034,-1.5259,-0.4273,1.4649,231.536015625,FALL
-4.2498,-5.7487,-6.5938,1.0376,1.5259,0.0,231.55640625,FALL
-4.1182,-5.775,-6.7662,-8.301,2.3194,-1.8311,231.576796875,FALL
-4.2953,-5.6074,-6.9003,-14.6489,4.0284,-3.296,231.5971875,FALL
-3.6321,-4.2929,-2.8492,-13.9164,14.5878,-4.1505,231.61759375,FALL
-4.6162,-4.8221,-6.8548,-104.3123,54.0788,-11.7191,231.637984375,FALL
,,,,,,231.648171875,FALL
-3.6489,-5.2099,-10.0129,-234.138,24.4148,-23.011,231.658375,FALL
-3.4166,-4.1014,-7.8963,-155.4613,28.077,-18.3721,231.678765625,FALL
-4.2187,-3.1557,-6.4837,-107.242,57.1306,-12.6957,231.69915625,FALL
-3.1628,-3.8093,-9.3209,-206.8545,46.144,-15.7476,231.719546875,FALL
-2.9043,-4.1804,-12.0983,-208.1362,4.883,-24.0486,231.7399375,FALL
-2.3536,-1.5874,-10.9514,-43.4584,-16.7241,-26.4901,231.760328125,FALL
-3.5627,-2.8085,-7.1565,72.6341,7.2634,-7.5076,231.78071875,FALL
-3.2873,-3.2275,-9.2922,16.6021,0.5493,4.883,231.801125,FALL
-3.1317,-3.3472,-9.2611,-9.0945,-5.3713,2.0753,231.821515625,FALL
-3.3256,-3.0671,-8.2794,30.7627,-2.6246,3.4791,231.84190625,FALL
-3.2586,-3.2897,-8.8899,26.5511,-4.5167,1.9532,231.862296875,FALL
-3.6345,-3.0455,-7.6641,18.6163,5.2492,-6.3478,231.8826875,FALL
-3.4023,-3.4621,-8.2579,-6.8972,16.1138,-13.245,231.90309375,FALL
-9.2036,-4.767,-6.3065,-39.4299,32.5938,-5.1271,231.923484375,FALL
-2.8971,-10.5851,-5.4685,,,,231.943875,FALL
,,,-19.2877,18.8604,10.9867,231.943875,FALL
-8.4183,-5.9905,-4.0176,115.421,-91.8607,-29.603,231.964265625,FALL
-9.0121,-13.1709,-5.2818,113.5899,-216.2542,-89.2972,231.98465625,FALL
-11.2148,-7.8412,-7.5707,224.189,-323.6183,-121.952,232.005046875,FALL
-11.9211,-10.2523,-10.4558,253.853,-414.1972,-110.5991,232.0254375,FALL
-13.5324,-4.2355,-6.9937,472.3655,-442.5184,-61.2812,232.045828125,FALL
